"B_cells"	"Cytotoxic_cells"	"Dendritic_cells"	"Eosinophils"	"Macrophages"	"Mast_cells"	"NK_cells"	"Neutrophils"	"T_cells_CD4"	"T_cells_CD8"	"T_cells_gamma_delta"	"T_regulatory_cells"	"Macrophages_M1"	"Macrophages_M2"	"Endothelial"	"Fibroblasts"	"Monocytes"	"Plasma_cells"
"GREB1"	""	""	""	"NAGPA"	""	""	""	"ARL2"	"SGSM2"	""	""	""	""	"TRPC4AP"	""	""	""
"GRIK3"	""	""	""	"NCKAP1L"	""	""	""	"ARPC4"	"SLAMF1"	""	""	""	""	"TSPAN13"	""	""	""
"GTSE1"	""	""	""	"NDUFB1"	""	""	""	"ATF1"	"SLC25A12"	""	""	""	""	"TSPO"	""	""	""
"GYS2"	""	""	""	"NFS1"	""	""	""	"ATG5"	"SLC25A20"	""	""	""	""	"TXNL1"	""	""	""
"H2AFX"	""	""	""	"NPR1"	""	""	""	"ATPIF1"	"SLC35B1"	""	""	""	""	"UBAP2"	""	""	""
"HAMP"	""	""	""	"OS9"	""	""	""	"ATXN10"	"SLC38A1"	""	""	""	""	"UBE2E1"	""	""	""
"HIST1H2BL"	""	""	""	"OSBPL11"	""	""	""	"AURKAIP1"	"SNRNP200"	""	""	""	""	"UBIAD1"	""	""	""
"HIST1H2BM"	""	""	""	"PABPC4"	""	""	""	"BTF3"	"SNTB2"	""	""	""	""	"UBXN1"	""	""	""
"HNRNPA0"	""	""	""	"PDE1B"	""	""	""	"BUB3"	"SPSB3"	""	""	""	""	"UNC45A"	""	""	""
"HP1BP3"	""	""	""	"PICK1"	""	""	""	"C11orf58"	"SRCAP"	""	""	""	""	"URM1"	""	""	""
"HPS4"	""	""	""	"PLEKHM2"	""	""	""	"C12orf29"	"SRRT"	""	""	""	""	"USP5"	""	""	""
"HSPB6"	""	""	""	"POGK"	""	""	""	"CBX3"	"SSR2"	""	""	""	""	"VAMP3"	""	""	""
"HTR1B"	""	""	""	"RIN2"	""	""	""	"CCNC"	"STK25"	""	""	""	""	"WDR13"	""	""	""
"HTR5A"	""	""	""	"S100A6"	""	""	""	"CD226"	"STX18"	""	""	""	""	"YIF1B"	""	""	""
"IFNA1"	""	""	""	"SDCBP"	""	""	""	"CD2AP"	"STX4"	""	""	""	""	"YWHAE"	""	""	""
"IGLL1"	""	""	""	"SLC25A46"	""	""	""	"CDC40"	"TAF10"	""	""	""	""	"ZC3H7B"	""	""	""
"IL12B"	""	""	""	"SLC39A1"	""	""	""	"CDK9"	"TBX21"	""	""	""	""	"ZDHHC24"	""	""	""
"IMP4"	""	""	""	"SLC6A7"	""	""	""	"CDV3"	"TCOF1"	""	""	""	""	"ZFPL1"	""	""	""
"IQCC"	""	""	""	"SLC9A6"	""	""	""	"CEP57"	"TIMM22"	""	""	""	""	"ZNF205"	""	""	""
"KCNJ13"	""	""	""	"SMG5"	""	""	""	"CETN3"	"TMEM184B"	""	""	""	""	"ZNF22"	""	""	""
"KCNJ9"	""	""	""	"SNAPC2"	""	""	""	"CLPX"	"TNIP2"	""	""	""	""	"ZNF282"	""	""	""
"KCNQ4"	""	""	""	"SNX1"	""	""	""	"CMPK1"	"TRAPPC4"	""	""	""	""	"ZWILCH"	""	""	""
"KCNV2"	""	""	""	"SNX5"	""	""	""	"CNBP"	"TRMT2A"	""	""	""	""	""	""	""	""
"KERA"	""	""	""	"TAF10"	""	""	""	"COPS4"	"TRMU"	""	""	""	""	""	""	""	""
"KIF11"	""	""	""	"TBC1D9B"	""	""	""	"COPS5"	"TRNAU1AP"	""	""	""	""	""	""	""	""
"KIF14"	""	""	""	"TMED5"	""	""	""	"COX7C"	"TTC22"	""	""	""	""	""	""	""	""
"KIF23"	""	""	""	"TMEM184C"	""	""	""	"CPSF6"	"TUFM"	""	""	""	""	""	""	""	""
"KIF4A"	""	""	""	"TNFSF14"	""	""	""	"CSNK1A1"	"TULP4"	""	""	""	""	""	""	""	""
"KLHL12"	""	""	""	"UBXN6"	""	""	""	"CSNK2A2"	"UBN1"	""	""	""	""	""	""	""	""
"KNG1"	""	""	""	"UCP3"	""	""	""	"CTBP1"	"UBTF"	""	""	""	""	""	""	""	""
"KRI1"	""	""	""	"UGP2"	""	""	""	"CXCR6"	"URB2"	""	""	""	""	""	""	""	""
"KRT12"	""	""	""	"UNC50"	""	""	""	"DAD1"	"URGCP"	""	""	""	""	""	""	""	""
"KRT19"	""	""	""	"VPS35"	""	""	""	"DAP3"	"USP1"	""	""	""	""	""	""	""	""
"KRTAP1-3"	""	""	""	"WDFY3"	""	""	""	"DBF4"	"USP34"	""	""	""	""	""	""	""	""
"LAMB4"	""	""	""	"XPNPEP2"	""	""	""	"DDX3X"	"VPS4A"	""	""	""	""	""	""	""	""
"LARP7"	""	""	""	"ZC3H3"	""	""	""	"DENR"	"WAS"	""	""	""	""	""	""	""	""
"LILRB1"	""	""	""	"ZCCHC4"	""	""	""	"DNAJA2"	"WSB2"	""	""	""	""	""	""	""	""
"LILRB4"	""	""	""	"ZNF219"	""	""	""	"DOHH"	"WWP2"	""	""	""	""	""	""	""	""
"LLGL1"	""	""	""	"ACP5"	""	""	""	"DPM1"	"ZBTB39"	""	""	""	""	""	""	""	""
"LRRTM4"	""	""	""	"BCL2A1"	""	""	""	"DR1"	"ZMYM1"	""	""	""	""	""	""	""	""
"LSM2"	""	""	""	"BHLHE41"	""	""	""	"EEF2"	"ZNF142"	""	""	""	""	""	""	""	""
"LTC4S"	""	""	""	"C5AR1"	""	""	""	"EID1"	"ZNF276"	""	""	""	""	""	""	""	""
"LY6H"	""	""	""	"CYP27A1"	""	""	""	"EIF3E"	"ZNF335"	""	""	""	""	""	""	""	""
"MAG"	""	""	""	"IL7R"	""	""	""	"EIF3L"	"ZNF394"	""	""	""	""	""	""	""	""
"MEN1"	""	""	""	"MMP9"	""	""	""	"EIF3M"	"ZNF428"	""	""	""	""	""	""	""	""
"MKI67"	""	""	""	"NCF2"	""	""	""	"EIF4G2"	"ZNF549"	""	""	""	""	""	""	""	""
"MRPL12"	""	""	""	"PLA2G7"	""	""	""	"ERH"	"ZNF696"	""	""	""	""	""	""	""	""
"MRPS15"	""	""	""	""	""	""	""	"ESD"	"ZNF79"	""	""	""	""	""	""	""	""
"MRTO4"	""	""	""	""	""	""	""	"ETAA1"	"AMBN"	""	""	""	""	""	""	""	""
"MSTN"	""	""	""	""	""	""	""	"EXOC2"	"BCAS2"	""	""	""	""	""	""	""	""
"MUC6"	""	""	""	""	""	""	""	"FARS2"	"BTNL8"	""	""	""	""	""	""	""	""
"MUSK"	""	""	""	""	""	""	""	"FCF1"	"BUD31"	""	""	""	""	""	""	""	""
"MYBL2"	""	""	""	""	""	""	""	"FNTA"	"C19orf53"	""	""	""	""	""	""	""	""
"MYH4"	""	""	""	""	""	""	""	"FUBP3"	"CA14"	""	""	""	""	""	""	""	""
"MYH8"	""	""	""	""	""	""	""	"FXR1"	"CCDC87"	""	""	""	""	""	""	""	""
"MYL7"	""	""	""	""	""	""	""	"GABPA"	"CCR8"	""	""	""	""	""	""	""	""
"NACA2"	""	""	""	""	""	""	""	"GALR2"	"CDK5RAP1"	""	""	""	""	""	""	""	""
"NEUROG1"	""	""	""	""	""	""	""	"GATAD2A"	"CILP"	""	""	""	""	""	""	""	""
"NMUR1"	""	""	""	""	""	""	""	"GLOD4"	"COX4I1"	""	""	""	""	""	""	""	""
"NOL12"	""	""	""	""	""	""	""	"GLUD1"	"CWF19L1"	""	""	""	""	""	""	""	""
"NOP56"	""	""	""	""	""	""	""	"GPR132"	"DDX24"	""	""	""	""	""	""	""	""
"NOTCH4"	""	""	""	""	""	""	""	"GRPEL1"	"FXYD7"	""	""	""	""	""	""	""	""
"NUSAP1"	""	""	""	""	""	""	""	"GZMA"	"GDAP2"	""	""	""	""	""	""	""	""
"NXF3"	""	""	""	""	""	""	""	"HDAC1"	"GJB4"	""	""	""	""	""	""	""	""
"OMD"	""	""	""	""	""	""	""	"HINT1"	"GPR15"	""	""	""	""	""	""	""	""
"OMG"	""	""	""	""	""	""	""	"HMGB2"	"HIGD2A"	""	""	""	""	""	""	""	""
"ONECUT1"	""	""	""	""	""	""	""	"HNRNPA0"	"HIST1H3A"	""	""	""	""	""	""	""	""
"OR7A5"	""	""	""	""	""	""	""	"HNRNPH3"	"HTR1B"	""	""	""	""	""	""	""	""
"OTOF"	""	""	""	""	""	""	""	"IMP3"	"IL21R"	""	""	""	""	""	""	""	""
"OTUD7B"	""	""	""	""	""	""	""	"INTS8"	"JOSD1"	""	""	""	""	""	""	""	""
"P2RY14"	""	""	""	""	""	""	""	"ISCA1"	"LIN28A"	""	""	""	""	""	""	""	""
"PADI4"	""	""	""	""	""	""	""	"JAK3"	"LUZP4"	""	""	""	""	""	""	""	""
"PAPOLB"	""	""	""	""	""	""	""	"KARS"	"MED31"	""	""	""	""	""	""	""	""
"PARK2"	""	""	""	""	""	""	""	"KIF22"	"MOGAT2"	""	""	""	""	""	""	""	""
"PCDH11Y"	""	""	""	""	""	""	""	"KTN1"	"MS4A5"	""	""	""	""	""	""	""	""
"PCDHA5"	""	""	""	""	""	""	""	"LDHB"	"MYL1"	""	""	""	""	""	""	""	""
"PDE11A"	""	""	""	""	""	""	""	"LIMS1"	"NDUFA1"	""	""	""	""	""	""	""	""
"PDE6D"	""	""	""	""	""	""	""	"LIN7C"	"NDUFA4"	""	""	""	""	""	""	""	""
"PLK4"	""	""	""	""	""	""	""	"MAEA"	"NDUFS5"	""	""	""	""	""	""	""	""
"PMP2"	""	""	""	""	""	""	""	"MAGOH"	"NGDN"	""	""	""	""	""	""	""	""
"PMPCA"	""	""	""	""	""	""	""	"MATR3"	"NKTR"	""	""	""	""	""	""	""	""
"POLA1"	""	""	""	""	""	""	""	"MEN1"	"OMG"	""	""	""	""	""	""	""	""
"POU1F1"	""	""	""	""	""	""	""	"METAP1"	"PCIF1"	""	""	""	""	""	""	""	""
"POU3F1"	""	""	""	""	""	""	""	"METTL5"	"PSG11"	""	""	""	""	""	""	""	""
"PPEF2"	""	""	""	""	""	""	""	"MMADHC"	"RFX2"	""	""	""	""	""	""	""	""
"PPP4R2"	""	""	""	""	""	""	""	"MRPL11"	"RNF7"	""	""	""	""	""	""	""	""
"PRB4"	""	""	""	""	""	""	""	"MRPL20"	"RNMT"	""	""	""	""	""	""	""	""
"PRMT1"	""	""	""	""	""	""	""	"MRPL44"	"RPP38"	""	""	""	""	""	""	""	""
"PRTN3"	""	""	""	""	""	""	""	"MRPS18B"	"RRH"	""	""	""	""	""	""	""	""
"PSG11"	""	""	""	""	""	""	""	"MRPS27"	"RRP8"	""	""	""	""	""	""	""	""
"PSORS1C2"	""	""	""	""	""	""	""	"MRPS34"	"SETD2"	""	""	""	""	""	""	""	""
"PTTG1"	""	""	""	""	""	""	""	"NAE1"	"SHFM1"	""	""	""	""	""	""	""	""
"R3HCC1"	""	""	""	""	""	""	""	"NCL"	"SKI"	""	""	""	""	""	""	""	""
"RAD23A"	""	""	""	""	""	""	""	"NDUFS5"	"SLC17A4"	""	""	""	""	""	""	""	""
"RAG2"	""	""	""	""	""	""	""	"NKRF"	"SLC35E1"	""	""	""	""	""	""	""	""
"RAPSN"	""	""	""	""	""	""	""	"NUPL2"	"SMCP"	""	""	""	""	""	""	""	""
"RBP3"	""	""	""	""	""	""	""	"OSGEP"	"SMR3B"	""	""	""	""	""	""	""	""
"RFC2"	""	""	""	""	""	""	""	"PABPC4"	"SON"	""	""	""	""	""	""	""	""
"RFC5"	""	""	""	""	""	""	""	"PAPOLA"	"SS18L2"	""	""	""	""	""	""	""	""
"RNF25"	""	""	""	""	""	""	""	"PCID2"	"ZNHIT3"	""	""	""	""	""	""	""	""
"RPE65"	""	""	""	""	""	""	""	"PCNP"	"CCL5"	""	""	""	""	""	""	""	""
"RPGRIP1"	""	""	""	""	""	""	""	"PDCD10"	"CD247"	""	""	""	""	""	""	""	""
"RRM2"	""	""	""	""	""	""	""	"PFDN6"	"CST7"	""	""	""	""	""	""	""	""
"SAC3D1"	""	""	""	""	""	""	""	"PFN1"	"FAIM3"	""	""	""	""	""	""	""	""
"SCRT1"	""	""	""	""	""	""	""	"PKP4"	"ITK"	""	""	""	""	""	""	""	""
"SGCA"	""	""	""	""	""	""	""	"PLP2"	"KLRK1"	""	""	""	""	""	""	""	""
"SHCBP1"	""	""	""	""	""	""	""	"POLD2"	"LCK"	""	""	""	""	""	""	""	""
"SIVA1"	""	""	""	""	""	""	""	"PPA2"	"LTB"	""	""	""	""	""	""	""	""
"SLC12A1"	""	""	""	""	""	""	""	"PPID"	"PIK3IP1"	""	""	""	""	""	""	""	""
"SLC13A4"	""	""	""	""	""	""	""	"PPIH"	"SELL"	""	""	""	""	""	""	""	""
"SLC25A31"	""	""	""	""	""	""	""	"PPP1CB"	"TRAC"	""	""	""	""	""	""	""	""
"SLC2A2"	""	""	""	""	""	""	""	"PPP1CC"	"TRBC1"	""	""	""	""	""	""	""	""
"SLURP1"	""	""	""	""	""	""	""	"PPP2R5D"	""	""	""	""	""	""	""	""	""
"SMARCA4"	""	""	""	""	""	""	""	"PPP6C"	""	""	""	""	""	""	""	""	""
"SMC4"	""	""	""	""	""	""	""	"PREPL"	""	""	""	""	""	""	""	""	""
"SNRPD1"	""	""	""	""	""	""	""	"PRPF18"	""	""	""	""	""	""	""	""	""
"SOX14"	""	""	""	""	""	""	""	"PRPF19"	""	""	""	""	""	""	""	""	""
"SPATA7"	""	""	""	""	""	""	""	"PSMF1"	""	""	""	""	""	""	""	""	""
"SPC25"	""	""	""	""	""	""	""	"PTGES3"	""	""	""	""	""	""	""	""	""
"SPTA1"	""	""	""	""	""	""	""	"PTPN11"	""	""	""	""	""	""	""	""	""
"SPTBN5"	""	""	""	""	""	""	""	"PTPN4"	""	""	""	""	""	""	""	""	""
"SRY"	""	""	""	""	""	""	""	"RAD21"	""	""	""	""	""	""	""	""	""
"STIP1"	""	""	""	""	""	""	""	"RANBP1"	""	""	""	""	""	""	""	""	""
"STRN4"	""	""	""	""	""	""	""	"RBM3"	""	""	""	""	""	""	""	""	""
"TACC3"	""	""	""	""	""	""	""	"RBM34"	""	""	""	""	""	""	""	""	""
"TACR3"	""	""	""	""	""	""	""	"RNF34"	""	""	""	""	""	""	""	""	""
"TCF3"	""	""	""	""	""	""	""	"RNF6"	""	""	""	""	""	""	""	""	""
"TCOF1"	""	""	""	""	""	""	""	"RPF1"	""	""	""	""	""	""	""	""	""
"TESK1"	""	""	""	""	""	""	""	"RPL13"	""	""	""	""	""	""	""	""	""
"TGM3"	""	""	""	""	""	""	""	"RPL13A"	""	""	""	""	""	""	""	""	""
"THPO"	""	""	""	""	""	""	""	"RPL36"	""	""	""	""	""	""	""	""	""
"TLX2"	""	""	""	""	""	""	""	"RPL4"	""	""	""	""	""	""	""	""	""
"TNFRSF12A"	""	""	""	""	""	""	""	"RPL5"	""	""	""	""	""	""	""	""	""
"TNNT2"	""	""	""	""	""	""	""	"RPL8"	""	""	""	""	""	""	""	""	""
"TOP2B"	""	""	""	""	""	""	""	"RPS19"	""	""	""	""	""	""	""	""	""
"TRA2A"	""	""	""	""	""	""	""	"RPS3"	""	""	""	""	""	""	""	""	""
"TRPM1"	""	""	""	""	""	""	""	"RPS6"	""	""	""	""	""	""	""	""	""
"TSSC1"	""	""	""	""	""	""	""	"RRP1B"	""	""	""	""	""	""	""	""	""
"TSSK2"	""	""	""	""	""	""	""	"RSL24D1"	""	""	""	""	""	""	""	""	""
"TUT1"	""	""	""	""	""	""	""	"RUVBL1"	""	""	""	""	""	""	""	""	""
"UBE2C"	""	""	""	""	""	""	""	"SAFB2"	""	""	""	""	""	""	""	""	""
"UCP3"	""	""	""	""	""	""	""	"SEC23IP"	""	""	""	""	""	""	""	""	""
"VPREB1"	""	""	""	""	""	""	""	"SERP1"	""	""	""	""	""	""	""	""	""
"VSX1"	""	""	""	""	""	""	""	"SH2D1A"	""	""	""	""	""	""	""	""	""
"XPNPEP2"	""	""	""	""	""	""	""	"SLC25A38"	""	""	""	""	""	""	""	""	""
"ZMYND10"	""	""	""	""	""	""	""	"SLC25A6"	""	""	""	""	""	""	""	""	""
"ZNF155"	""	""	""	""	""	""	""	"SMAD2"	""	""	""	""	""	""	""	""	""
"ZNF407"	""	""	""	""	""	""	""	"SMC5"	""	""	""	""	""	""	""	""	""
"ZNF674"	""	""	""	""	""	""	""	"SMU1"	""	""	""	""	""	""	""	""	""
"ZNF81"	""	""	""	""	""	""	""	"SOD1"	""	""	""	""	""	""	""	""	""
"CD69"	""	""	""	""	""	""	""	"SP3"	""	""	""	""	""	""	""	""	""
"FAM65B"	""	""	""	""	""	""	""	"SPAG16"	""	""	""	""	""	""	""	""	""
"GUSBP11"	""	""	""	""	""	""	""	"SRP9"	""	""	""	""	""	""	""	""	""
"IGLL3P"	""	""	""	""	""	""	""	"SSNA1"	""	""	""	""	""	""	""	""	""
"IRF8"	""	""	""	""	""	""	""	"STK16"	""	""	""	""	""	""	""	""	""
"KIAA0226L"	""	""	""	""	""	""	""	"SUB1"	""	""	""	""	""	""	""	""	""
"LTB"	""	""	""	""	""	""	""	"SUCLG1"	""	""	""	""	""	""	""	""	""
"P2RX5"	""	""	""	""	""	""	""	"SURF2"	""	""	""	""	""	""	""	""	""
"RASGRP2"	""	""	""	""	""	""	""	"TBL3"	""	""	""	""	""	""	""	""	""
"SELL"	""	""	""	""	""	""	""	"THOC7"	""	""	""	""	""	""	""	""	""
"SIK1"	""	""	""	""	""	""	""	"THOP1"	""	""	""	""	""	""	""	""	""
"IGHD"	""	""	""	""	""	""	""	"THRAP3"	""	""	""	""	""	""	""	""	""
"IL4R"	""	""	""	""	""	""	""	"TINF2"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"TRA2A"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"TRMT112"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"TSN"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"TSSC1"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"TTC37"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"U2AF2"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"UBE2D2"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"UBE2D3"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"UBE2N"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"UNC45A"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"UQCRC2"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"UXT"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"WDR46"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"ZC3H15"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"ZDHHC6"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"ZNF236"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"ZZZ3"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"ACBD4"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"ARFRP1"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"BMS1"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"CASP8"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"CDK1"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"CDK10"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"CEPT1"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"CLC"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"CLUAP1"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"COPS7B"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"COQ6"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"CREBZF"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"CTSW"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"CUL1"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"DPEP2"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"FKTN"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"GIN1"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"GLG1"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"GRAP2"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"GRK6"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"GZMM"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"IL16"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"INPP4A"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"INSL3"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"KRI1"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"KRT2"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"LAIR2"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"LIMD2"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"MAK"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"MLH3"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"MLXIP"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"MTRF1"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"NAA16"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"NDFIP1"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"NUDT9"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"NUMA1"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"NUP50"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"PACS1"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"PARP11"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"PHF1"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"PHF20L1"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"PIP4K2B"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"POP5"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"PRMT3"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"RAB3GAP1"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"RBMS1"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"REV1"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"RNF216"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"RPA3"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"RPAP2"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"RPL14"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"RPLP2"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"RPRD2"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"RXRB"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"SETD5"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"SH2B1"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"STAP1"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"TATDN2"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"TBC1D5"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"TEX264"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"TNK1"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"TSPAN32"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"USP16"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"UTP20"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"VPS52"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"WDR82"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"ZBTB40"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"ZNF263"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"ZNF264"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"ZNF609"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"ZNF76"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"ZNF780B"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"AIM2"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"CCL4"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"GZMB"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"IFNG"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"IL2RB"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"IL9"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"LCK"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"LTB"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"TRAC"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"TRBC1"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"BCL11B"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"CD37"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"CD69"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"FAIM3"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"IL7R"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"PIK3IP1"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"PTGER2"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"PTPRCAP"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"SELL"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"ATHL1"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"FAM65B"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"LAT"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"RPL3P7"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"TCF7"	""	""	""	""	""	""	""	""	""
